entry_date,exit_date,direction,entry_price,exit_price,trade_return,holding_days
2019-10-18,2019-11-05,1,271.7129211425781,279.97454833984375,0.030405720723639895,18
2019-11-05,2019-11-18,2,279.97454833984375,284.5248718261719,0.03250526530579334,13
2019-11-18,2019-11-21,3,284.5248718261719,282.9290771484375,-0.016825889429195273,3
2019-11-21,2019-11-22,2,282.9290771484375,283.5581970214844,0.004447191355427815,1
2019-11-22,2019-11-25,3,283.5581970214844,285.7558288574219,0.023250590450442976,3
2019-11-25,2019-12-12,2,285.7558288574219,289.1845703125,0.023997700895815655,17
2019-12-12,2019-12-16,1,289.1845703125,291.34564208984375,0.007472984381595715,4
2019-12-16,2020-01-24,2,291.34564208984375,301.2728271484375,0.06814713264550853,39
2020-01-24,2020-02-24,1,301.2728271484375,295.45391845703125,-0.019314415928188833,31
2020-07-27,2020-09-03,1,299.2397766113281,319.76483154296875,0.0685906638618432,38
2020-12-02,2021-01-29,1,340.9364929199219,345.4515686035156,0.013243157530379746,58
2021-02-18,2021-02-24,1,364.7278747558594,365.7079772949219,0.002687215885867067,6
2021-03-02,2021-03-04,1,360.8258972167969,351.6405029296875,-0.025456582684225904,2
2021-03-29,2021-06-14,1,370.66131591796875,398.27032470703125,0.07448581117963937,77
2021-06-14,2021-06-21,2,398.27032470703125,395.4389953613281,-0.014218128592863977,7
2021-06-21,2021-08-17,1,395.4389953613281,417.21893310546875,0.05507787041649603,57
2021-08-17,2021-08-18,2,417.21893310546875,412.6524658203125,-0.021890029060603,1
2021-08-18,2021-08-20,1,412.6524658203125,416.5799865722656,0.00951774453630283,2
2021-08-20,2021-08-23,2,416.5799865722656,420.2445068359375,0.017593357250906827,3
2021-08-23,2021-09-02,1,420.2445068359375,425.8162841796875,0.013258418023594176,10
2021-09-02,2021-09-08,2,425.8162841796875,423.6739501953125,-0.010062245451707419,6
2021-09-08,2021-10-14,1,423.6739501953125,417.1039733886719,-0.015507153091692039,36
2021-10-18,2021-11-08,1,421.5248107910156,442.01708984375,0.04861464504136648,21
2021-11-08,2021-11-10,2,442.01708984375,437.0118103027344,-0.022647448055843178,2
2021-11-10,2021-11-11,1,437.0118103027344,437.1531982421875,0.0003235334517737165,1
2021-11-11,2021-11-26,2,437.1531982421875,432.628662109375,-0.02070000242938108,15
2021-11-26,2021-12-07,1,432.628662109375,441.40435791015625,0.020284591774371696,11
2022-01-04,2022-01-25,1,451.7238464355469,410.97357177734375,-0.09021058989857311,21
2022-01-26,2022-01-27,1,409.9425964355469,407.918212890625,-0.004938212233917438,1
2023-02-06,2023-02-07,-1,393.95538330078125,399.1077575683594,-0.013078573071926503,1
2023-02-15,2023-02-16,-1,397.9447021484375,392.46539306640625,0.013769021304843032,1
2023-03-01,2023-03-02,1,379.4498596191406,382.4010314941406,0.007777501559658395,1
2023-03-06,2023-03-07,1,388.8030090332031,382.84307861328125,-0.015328920511036737,1
2023-03-08,2023-03-10,1,383.46795654296875,370.9619140625,-0.03261300525137201,2
2023-04-10,2023-05-17,1,395.24664306640625,400.6695861816406,0.013720402716546953,37
2023-05-18,2023-05-24,1,404.529296875,396.6747131347656,-0.019416600480883006,6
2023-05-26,2023-05-30,1,405.2915954589844,405.4459533691406,0.00038085643000185243,4
2023-06-08,2023-07-26,1,414.0821533203125,441.1697998046875,0.06541611674681724,48
2023-07-26,2023-07-27,2,441.1697998046875,438.244873046875,-0.013259868463831426,1
2023-07-27,2023-10-27,1,438.244873046875,399.15411376953125,-0.08919844060140913,92
2023-11-03,2023-11-10,1,422.49029541015625,428.244140625,0.013618881373968383,7
2023-11-13,2023-11-14,1,427.8359375,436.1362609863281,0.01940071592589887,1
2023-11-16,2023-12-13,1,437.5941467285156,457.2952575683594,0.04502142221766592,27
2023-12-13,2023-12-20,2,457.2952575683594,456.96337890625,-0.0014514852564802005,7
2023-12-20,2024-06-25,1,456.96337890625,535.0587158203125,0.1709006465703775,188
2024-06-25,2024-07-17,2,535.0587158203125,546.9515991210938,0.044454497979900864,22
2024-07-17,2024-08-02,1,546.9515991210938,523.3426513671875,-0.043164601386747714,16
2024-09-03,2024-12-05,1,542.1786499023438,597.6072387695312,0.10223307184296404,93
2024-12-05,2024-12-11,2,597.6072387695312,598.3953247070312,0.002637471189681939,6
2024-12-11,2024-12-13,1,598.3953247070312,595.1937866210938,-0.005350205714767187,2
2024-12-13,2024-12-18,2,595.1937866210938,577.5314331054688,-0.05934992573055542,5
2024-12-18,2025-01-10,1,577.5314331054688,573.7523193359375,-0.006543563783551032,23
2025-01-21,2025-03-07,1,596.0504150390625,569.2352905273438,-0.04498801415977771,45
2025-05-20,2025-05-21,1,587.7315673828125,577.8278198242188,-0.016850800787671538,1
2025-05-22,2025-05-27,1,578.055908203125,586.0463256835938,0.013822914647316331,5
2025-06-10,2025-07-17,1,597.873291015625,624.4583740234375,0.04446608237449712,37
2025-07-17,2025-08-01,2,624.4583740234375,618.1743774414062,-0.020126230485285834,15
2025-08-01,2025-09-22,1,618.1743774414062,664.8753662109375,0.07554662644353582,52
2025-09-22,2025-10-10,2,664.8753662109375,651.0960693359375,-0.041449262749880145,18
2025-10-10,2026-01-16,1,651.0960693359375,691.6599731445312,0.06230095022684656,98
2026-01-16,2026-01-20,2,691.6599731445312,677.5800170898438,-0.04071351994152561,4
2026-01-20,2026-03-13,1,677.5800170898438,662.2899780273438,-0.022565658190702886,52
